Beginning
Processors,Parallel,Jamboree
1,6459278560,129611642
2,3251124362,102441514
3,2141015980,87643889
4,1667801384,82401118
5,1239202363,80900782
6,1093825503,78521807
7,864815833,78272842
8,834227436,77672057
9,811802808,75235945
10,758929299,74925622
11,733712646,73114853
12,719827066,72869358
13,712484989,71941511
14,696934551,72191737
15,694763103,73085664
16,685313636,72920708
17,684416182,73374990
18,695587569,72571765
19,687341340,71942167
20,681045165,70701464
21,682434408,70972823
22,676382426,71904857
23,679804747,71977371
24,678643445,71766920
25,684842562,72960796
26,677160560,72449487
27,674680980,72129061
28,675709991,71269983
29,678139249,71258300
30,679322752,72010980
31,677940640,71588360
32,675727224,72214083

Middle
Processors,Parallel,Jamboree
1,48022118762,689048524
2,24488123759,435737882
3,15343798046,355704417
4,12500440736,305209536
5,9442641669,286426154
6,7558054114,270334418
7,6419957039,261589785
8,5879773482,251487539
9,5782699083,242186109
10,5436906875,237721869
11,5209697703,234427866
12,5119483392,229856723
13,5081175800,229081046
14,5064341368,228145610
15,5043820598,228327773
16,5030870070,231025881
17,5025869331,226943948
18,5000234299,227048617
19,5016402453,228607898
20,5008098875,227902631
21,4999206910,231493940
22,5006059749,231864540
23,4985651964,234432641
24,4993411855,231807610
25,5013529911,232466634
26,5020484805,232066167
27,5008030495,234627619
28,5038321720,232328177
29,5025956128,233472399
30,5011013040,232379569
31,5014883212,232742386
32,5031256154,234192573

End
Processors,Parallel,Jamboree
1,6343892068,135633043
2,3248680133,96079535
3,2198193461,79967637
4,1636825752,77917853
5,1266418907,72395738
6,1091238013,71994969
7,955030521,67371837
8,861189778,65593404
9,791536438,68993819
10,774121094,68153808
11,746987242,66541657
12,735727959,64642686
13,732366161,68423204
14,729567347,68456043
15,727114172,67006182
16,728555891,64531782
17,727996675,65590817
18,725618034,68015968
19,718949882,66015248
20,718783862,65346673
21,717021236,65716361
22,721216875,68602003
23,719933194,65295322
24,718975031,66516857
25,719565540,65178621
26,723635737,65540350
27,722715891,65311424
28,719831342,66169914
29,716601189,66881180
30,723953188,65158810
31,725079046,68156683
32,720839305,66871055
